Id,UserNickname,Rating,Title,ReviewText
120443942,young jin you,5,"great","I think my pants are so pretty. I want to keep buying."
120427992,BIP1,5,"Great fit","Would buy again.  Love the new slim style legs and low waist."
211787232,joshua12,5,"best product","fit me perfectly, do not need to worry what to dress. great gift for my friend as he will have a birthday soon"
211320083,jsam,5,"Excelente!","This is my favorite cut, the 511 I recommend it, they fit so good and tight but not too much"
119452847,JackBruno,5,"Perfect fit","These were purchased for myself about a month ago and the fit is great, very comfortable without being to tight. The classic jean fit and look, seldom do you get exactly what your looking for, but this was certainly it."
119445214,Akash,5,"Very Satisfied","Perfect fit and very comfortable. it's well almost in every style."
119428154,Caucus,5,"Size Runs Big","Taking the advice of another review I went from my size 34 x 30 to 33 x 30.. This was a much better fit.  Next pair I purchase will be 33 x 32.  It appears I need more length with a smaller size.  Levi does not have 33 x 31 so I will go with the 33 x 32"
119326215,tmg1,5,"Finally jeans that are short enough!!","My son is short and heavy, so he doesn't fit in youth sizes but men's sizes (30 if we are lucky and often 32) are WAY too long.  These pants with slim fit are just a tiny bit too long and he doesn't need to roll them 3-6 inches.  I've ordered 2 pairs already and will be ordering more once it starts getting cooler!"
119311033,RobluvsLevis,5,"So comfortable","Levi's stretch are great for bigger guys like me love comfort."
119012814,....,4,"Great fitting jeans, but....","Very hard to find a 29” length Jean in a retail store. Found it on The Levi site. The only issue I have is that it’s not a 29” length. Its a 30. Still love the jeans but wish I didn’t have have them shortened"
118668014,Nikolay,4,"Classic but not stretchy enough","Classy, but may not fit to any figure. Would be great if they were a bit more stretchy"
210648109,kris,5,"good fit without tailor; keep coming back to levi'","of all the jeans brands i've tried so far, i feel levi's fit is most comfortable."
118339501,Phil63,3,"Size issue","These jeans are VERY tight and stretchy and the legs a bit short. In my case I'm 6" and weight 158, and have always used 32W-32L and the legs are a bit short and the waist a bit loose. Anyways, the quality looks good."
118293343,Julia Z,5,"Perfect pair of jeans!","I bought these jeans for my husband and we both fell in love with them! He says they're extremely comfortable and they match any outfit. Very happy with these jeans. They fit great!!"
210130480,PawanPawan,5,"Good Fit and Good Fabric","I felt like smooth fabric found at low cost and good fit to make me comfort"
209853740,Dave,5,"Best Jeans","Levi 511 are the best jeans right now. Just bought a few more pairs."
209314840,jstar,5,"Awesome fit!!","I would recommend these to everyone! Will buy again!"
208322168,Mamdouh,5,"fits perfectly","Great quality Levi%u2019s it just looks great, fits perfectly ..."
207975958,MacyMs,5,"Great jeans","My son loved it. Please bring more color selections in size 27 waist. Right now only 2 colors are available in this size."
207967510,Pantcollector,5,"Comfortable","They feel awesome! Very comfortable pants. I can wear them with a tshirt or dress shirt."
207920953,TJJo,5,"Lovin Levi’s","They fit perfectly every time.  The material is great and hold up well after many many washes."
207800344,LOVE,5,"Great jeans","We are big fans of Levi jeans. Each person in my family wears a different style. These 511’s fit my son great."
207762438,Hetusha,4,"Great!!","My husband loved it. Even I love this company jeans. I was wearing it in India too."
207504120,Macyfan,5,"Excellent Jeans","I buy these jeans at Macy’s all the time because of their great quality and endurance."
207498873,Bargainlover,5,"Did not prefer the Rinsed Playa wash","Liked the cut and fit of the 511 slim fit pant. Also liked the color of the Rinsed Playa wash. What I did not care for was the two different colors of thread used in the stitching. At first I thought it was a factory defect, using yellow and orange thread. When I went to the store to swap the jeans for another pair, it was discovered that is how the jeans are supposed to be. Returned them for a different wash color."
207493557,Rocky,5,"Good Quality","Like these new colors which are made for Macy's.  Also love Macy's star reward feature."
207454038,daaj,5,"Fits great","Looks great on. Fits well. Very happy with the way they look on."
207098369,Beavermallet,4,"Looks good, slim","These pants look good but if you're debating between sizes, go up.  They are just a bit too slim if you size down."
206961470,Ricky,4,"Very comfy pants!","It gives it a sense of style to the outfit for whatever occasion intended to wear."
206900847,Kath24,5,"Love my Levi’s","New Levi’s are always great especially when Macy’s has the greatest price!"
206892868,WeHoBeau,5,"Best Jeans EVER!!","These are my go to jeans and I buy them in various colors. Yes, I have replace them about every 6 months b/c the crotch rips, but for the price and fit you can't beat it."
206730988,pants,5,"pants","I wear to pants everywhere. You can dress down or up with them"
113149461,MarcusKilgannon,5,"Great fit, style and so far durability.","Have owned these jeans for about a year now and they look identical to when I originally bought them. They've held up great with continuous wear and are comfortable and fit great. Bought a few different style 511s from the success I had with these and I have had the same quality with all them. Highly recommend the 511 line. #win501"
206697826,rick,5,"I am 100% Happy with This purchase and can't wait to wear","I bought these uniquely color 511Levis jeans and it's one of the most fun and happy purchases I've ever made. I couldn't be happier"
206647278,MacMeow,5,"Good product !!","Good product ....................................!!"
113049972,Nicholas317,4,"Great Jeans","I bought a pair about a month ago, after a week I bought two mord pairs because I loved them that much! On the down side they shrunk or tightened up after a wash... So now they are quite a squeeze. Athletic legs..."
206451379,CLSH,5,"So happy!","My son is tall and skinny so finding jeans that fit are not easy.  I am so happy that I was able to find these in the size he needs online.  Levi's last forever so that is a plus as well."
206328097,Levis,5,"Good quality","jeans are great quality and i Definitely recommend them"
206254557,Edjays323,4,"Great Choice","great jeans. fit well and color is well noted...
511 is a well fitted jean that is really comfortable to wear. i have bought multiple jeans but i feel 511 is one the best fitted jeans out there"
206233574,JD95648,5,"Love the purchase","Good quality and nice fit. They feel a little bigger than previously purchased pairs but overall love the style, look and feel."
206031966,ZacScott,5,"511’s are the best","excellent quality. Fit Great. My favorite style by far."
205960748,Jonathan,5,"Good buy!","Product was a great fit with a good price. Love it!"
205802260,Willower,5,"Love the Fit","Got myself these jeans to celebrate some recent weight loss. They are flattering and comfortable. I look great!"
205790865,LovetheSchmo,4,"Cool Hand Levi","Comfortable, have bought before and held up we’ll..."
205788458,Ronanz,5,"BEST JEANS I HAD","BEST JEANS I HAD
Dear Sir / Ma’am 
Greetings 
Very nice product....trendsetter!!!
It was really fits for my needs and a kind of pants you can wear for any occasions!"
205787267,Shubho,5,"Apt fit for business casual!","Right size and fit; 
The good thing about the '511 Slim Fit' is that it is not too tight (aka drain pipe fit) or too loose (like the straight / classic).
Apt dressing for business casuals."
205749270,Alphadogi,5,"Only Levis","This style is my son's favorite, he loves the tight fit along with the stretch."
205454181,shopper,3,"College kid","My son loves these jeans but they only lasted 5 months.  Levis do not last like they used to"
111692246,CrashDaddy,4,"Great Fit","I love the style and fit of 511 Levi's. My only complain t is that the colors are in correct in the images. I ordered what looked like Tan Brown and what arrived is easily Olive Green. Not a Levi's problem, more of a Kohl's problem."
